"site,""elevation"",""year"",""month"",""tave"",""vpd"",""par"",""seasonLength"""
Almont,2475,1980,1,-7.13709677419355,0.146429540168451,662.400001691613,0.657534246575342
Almont,2475,1980,2,-7.30172413793103,0.15628233292705,895.635862306895,0.657534246575342
Almont,2475,1980,3,-5.50806451612903,0.190121710587466,1155.52000633613,0.657534246575342
Almont,2475,1980,4,-0.233333333333333,0.30050558187808,1372.14933613933,0.657534246575342
Almont,2475,1980,5,6.56451612903226,0.563937856823091,1369.19742116516,0.657534246575342
Almont,2475,1980,6,13.0416666666667,1.2514481303035,1561.54667134333,0.657534246575342
Almont,2475,1980,7,15.9677419354839,1.48820132257604,1231.25678188742,0.657534246575342
Almont,2475,1980,8,14.5,1.34556368528832,1108.03613536839,0.657534246575342
Almont,2475,1980,9,11.0583333333333,1.00351769804415,1030.645329592,0.657534246575342
Almont,2475,1980,10,4.0241935483871,0.525231419857058,791.318706739354,0.657534246575342
Almont,2475,1980,11,-1.375,0.280411634142504,680.554664566,0.657534246575342
Almont,2475,1980,12,-3.21666666666667,0.242006758463787,634.677337542334,0.657534246575342
Almont,2475,1981,1,-6.75,0.195967472251471,727.927740577743,0.657534246575342
Almont,2475,1981,2,-5.83035714285714,0.22005852287648,935.771423560713,0.657534246575342
Almont,2475,1981,3,-1.98387096774194,0.30496102206362,1078.83354182097,0.657534246575342
Almont,2475,1981,4,4.88333333333333,0.710104168471274,1374.111991582,0.657534246575342
Almont,2475,1981,5,7.7258064516129,0.810897932070304,1149.82193819935,0.657534246575342
Almont,2475,1981,6,14.1166666666667,1.30695665648678,1260.03200327367,0.657534246575342
Almont,2475,1981,7,16.1935483870968,1.11970221628665,1002.62193480871,0.657534246575342
Almont,2475,1981,8,14.6290322580645,0.930994014026286,1044.64516920677,0.657534246575342
Almont,2475,1981,9,11.45,0.687513437620832,1000.22400888567,0.657534246575342
Almont,2475,1981,10,4.64516129032258,0.383402140154302,757.84258018516,0.657534246575342
Almont,2475,1981,11,0.0333333333333333,0.304260424306657,668.042668307334,0.657534246575342
Almont,2475,1981,12,-6.41666666666667,0.181094151501932,589.536001648334,0.657534246575342
Almont,2475,1982,1,-10.2903225806452,0.128880997026471,708.69677645645,0.657534246575342
Almont,2475,1982,2,-9.66071428571429,0.152689843545862,902.651430074642,0.657534246575342
Almont,2475,1982,3,-2.83064516129032,0.225097568889858,1040.13419331839,0.657534246575342
Almont,2475,1982,4,1.35,0.438676815075192,1374.11200795033,0.657534246575342
Almont,2475,1982,5,6.70967741935484,0.720791080981834,1355.42709813194,0.657534246575342
Almont,2475,1982,6,11.2083333333333,1.09669903752233,1344.67200795033,0.657534246575342
Almont,2475,1982,7,15.0806451612903,1.38532008193747,1175.70064697161,0.657534246575342
Almont,2475,1982,8,15.6854838709677,1.20800071128491,967.483872095483,0.657534246575342
Almont,2475,1982,9,10.6083333333333,0.621994672312902,920.490670875666,0.657534246575342
Almont,2475,1982,10,3.45967741935484,0.374772951636884,825.981932315807,0.657534246575342
Almont,2475,1982,11,-3.65,0.214647764372406,661.173336837,0.657534246575342
Almont,2475,1982,12,-7.175,0.167664203390931,641.546663163,0.657534246575342
Almont,2475,1983,1,-7.53225806451613,0.184700621521072,768.289030900323,0.657534246575342
Almont,2475,1983,2,-5.625,0.200584617502974,909.748573679287,0.657534246575342
Almont,2475,1983,3,-1.93548387096774,0.238463976532239,1036.57290413097,0.657534246575342
Almont,2475,1983,4,-1,0.354484217973052,1359.39200093533,0.657534246575342
Almont,2475,1983,5,5.45967741935484,0.596961010306701,1352.57806632645,0.657534246575342
Almont,2475,1983,6,11.0666666666667,0.973580298308188,1380.00000233833,0.657534246575342
Almont,2475,1983,7,15.7741935483871,1.277501445764,1160.98064629645,0.657534246575342
Almont,2475,1983,8,16.1370967741935,1.10534410190255,1042.74581052484,0.657534246575342
Almont,2475,1983,9,11.7083333333333,0.888146512406498,1048.06400304367,0.657534246575342
Almont,2475,1983,10,5.65322580645161,0.509783893376169,829.06838438129,0.657534246575342
Almont,2475,1983,11,-2.93333333333333,0.234957059516387,600.821335909334,0.657534246575342
Almont,2475,1983,12,-7.99166666666667,0.115133098175801,546.602671795666,0.657534246575342
Almont,2475,1984,1,-15.6532258064516,0.0959997605886487,742.410324398387,0.657534246575342
Almont,2475,1984,2,-11.5,0.165876263798065,937.257927893794,0.657534246575342
Almont,2475,1984,3,-6.13709677419355,0.279515259421396,1073.13548160806,0.657534246575342
Almont,2475,1984,4,-0.958333333333333,0.446885966127064,1277.45066386067,0.657534246575342
Almont,2475,1984,5,8.67741935483871,0.874749944959829,1434.48773469419,0.657534246575342
Almont,2475,1984,6,11.7083333333333,0.940146512406498,1187.90399602867,0.657534246575342
Almont,2475,1984,7,15.9354838709677,1.18382050929012,1089.28000045258,0.657534246575342
Almont,2475,1984,8,15,1.00096434677017,984.81547753484,0.657534246575342
Almont,2475,1984,9,10.7166666666667,0.732588813840807,983.78666199,0.657534246575342
Almont,2475,1984,10,2.20161290322581,0.291155163490312,743.359995244193,0.657534246575342
Almont,2475,1984,11,-3.025,0.230275546151255,750.965333095666,0.657534246575342
Almont,2475,1984,12,-7.40833333333333,0.155957955136722,630.016005144334,0.657534246575342
Almont,2475,1985,1,-10.7903225806452,0.127024028686718,714.157424340646,0.657534246575342
Almont,2475,1985,2,-9.80357142857143,0.146539288351458,948.388566918929,0.657534246575342
Almont,2475,1985,3,-2.32258064516129,0.328026366822213,1016.62967356871,0.657534246575342
Almont,2475,1985,4,3.2,0.492282032279142,1301.24800607967,0.657534246575342
Almont,2475,1985,5,8.11290322580645,0.743528808883825,1344.98062932097,0.657534246575342
Almont,2475,1985,6,13.025,1.14447958783065,1330.44266713433,0.657534246575342
Almont,2475,1985,7,15.741935483871,1.30606423868869,1028.02580645161,0.657534246575342
Almont,2475,1985,8,14.5725806451613,1.32880740114087,1243.12773378903,0.657534246575342
Almont,2475,1985,9,8.6,0.668621313934106,885.162668307334,0.657534246575342
Almont,2475,1985,10,4.63709677419355,0.42292256034422,825.50710197516,0.657534246575342
Almont,2475,1985,11,-2.50833333333333,0.200081352843724,574.816001633,0.657534246575342
Almont,2475,1985,12,-9.275,0.148510526822933,688.405329592,0.657534246575342
Almont,2475,1986,1,-9.5241935483871,0.16439352494875,721.992257841936,0.657534246575342
Almont,2475,1986,2,-4.39285714285714,0.177041650031188,738.628567666429,0.657534246575342
Almont,2475,1986,3,-0.330645161290323,0.388524193497597,1164.30451974968,0.657534246575342
Almont,2475,1986,4,3.44166666666667,0.493520243987231,1171.22133707467,0.657534246575342
Almont,2475,1986,5,7.20967741935484,0.761513860272409,1262.12128443903,0.657534246575342
Almont,2475,1986,6,13.1833333333333,1.17874419513516,1149.38666432833,0.657534246575342
Almont,2475,1986,7,14.4354838709677,1.05740253049065,1042.98323304774,0.657534246575342
Almont,2475,1986,8,14.7661290322581,0.996108881324152,1058.89031352903,0.657534246575342
Almont,2475,1986,9,9.19166666666667,0.550182061290589,900.373333333334,0.657534246575342
Almont,2475,1986,10,3.94354838709677,0.374820771215801,833.10451522387,0.657534246575342
Almont,2475,1986,11,-2.225,0.224190313505328,663.135999302334,0.657534246575342
Almont,2475,1986,12,-8.45,0.154058459871773,657.738659996666,0.657534246575342
Almont,2475,1987,1,-9.71774193548387,0.148283614136277,682.818062023226,0.657534246575342
Almont,2475,1987,2,-6.125,0.205541128055498,860.0685709275,0.657534246575342
Almont,2475,1987,3,-3.96774193548387,0.256954019981188,1099.96386463161,0.657534246575342
Almont,2475,1987,4,3.50833333333333,0.565207512088484,1369.69600514433,0.657534246575342
Almont,2475,1987,5,7.79032258064516,0.779409354845886,1268.53161561871,0.657534246575342
Almont,2475,1987,6,13.2666666666667,1.20967748454538,1253.40799672633,0.657534246575342
Almont,2475,1987,7,15.4838709677419,1.42770992717919,1207.27742161774,0.657534246575342
Almont,2475,1987,8,14.508064516129,1.12190818248007,1043.22064878194,0.657534246575342
Almont,2475,1987,9,10.3416666666667,0.854115107730162,1082.41066386067,0.657534246575342
Almont,2475,1987,10,6.31451612903226,0.561529328860441,793.21805750484,0.657534246575342
Almont,2475,1987,11,-1.95833333333333,0.233183608665209,655.776003971334,0.657534246575342
Almont,2475,1987,12,-7.31666666666667,0.157116089531742,605.237332873334,0.657534246575342
Almont,2475,1988,1,-11.4354838709677,0.11869336328234,706.560002025483,0.657534246575342
Almont,2475,1988,2,-9.01724137931035,0.163161637501064,1013.64964211,0.657534246575342
Almont,2475,1988,3,-3.85483870967742,0.232443287421761,1159.3187078671,0.657534246575342
Almont,2475,1988,4,3.54166666666667,0.584390246712317,1317.19466573133,0.657534246575342
Almont,2475,1988,5,7.90322580645161,0.844347823819497,1411.69549609065,0.657534246575342
Almont,2475,1988,6,14.625,1.33279724492251,1326.51733754233,0.657534246575342
Almont,2475,1988,7,16.258064516129,1.49116018201778,1180.44903180548,0.657534246575342
Almont,2475,1988,8,16.2338709677419,1.38379571749414,1066.01289417419,0.657534246575342
Almont,2475,1988,9,10.1166666666667,0.802031759879296,1022.058674617,0.657534246575342
Almont,2475,1988,10,6.98387096774194,0.582036905810045,828.356128127097,0.657534246575342
Almont,2475,1988,11,-2.53333333333333,0.215140172370233,614.314670408,0.657534246575342
Almont,2475,1988,12,-9.35,0.146729882455524,617.503998949666,0.657534246575342
Almont,2475,1989,1,-13.3790322580645,0.107425213380305,697.063219922903,0.657534246575342
Almont,2475,1989,2,-9.45535714285714,0.131768044294403,857.177138840358,0.657534246575342
Almont,2475,1989,3,-0.75,0.297008479632666,1121.8064470871,0.657534246575342
Almont,2475,1989,4,5.04166666666667,0.549042067342026,1353.01332865667,0.657534246575342
